source	ja
开发、系统维护与服务器成本测算	プロダクト開発・システム保守・サーバーコスト試算
Y1产品开发成本固定2,000万日元；保守版按2→4→6人年，高速版按2→20→30人年。维护/服务器含外国用户与订单增量。	Y1のプロダクト開発費は2,000万円で固定。保守シナリオは2→4→6人年、高成長シナリオは2→20→30人年です。保守・サーバー費には訪日外国人ユーザーと取引件数の増分を含みます。
一、产品开发及研发成本（不含系统维护和服务器）	1．プロダクト開発・R&D費（システム保守・サーバー費を除く）
厚劳省令和7年数据	厚生労働省 令和7年データ
管理假设	経営上の仮定
厚生年金、健康保险及其他雇主负担的规划系数	厚生年金、健康保険、その他の事業主負担を含む計画係数
自动计算，约1,000万日元/人年	自動計算。約1,000万円／人年
方案A 2→4→6：只做验证后的核心功能；方案B 2→20→30：支持高速扩张	シナリオA 2→4→6：検証済みの主要機能に限定。シナリオB 2→20→30：高成長に対応する開発体制
综合成本/人年×人年等价；不含系统维护和服务器	総合コスト／人年×人年換算。システム保守・サーバー費を含まない
二、系统维护、服务器及第三方基础设施	2．システム保守・サーバー・外部インフラ
AWS东京双AZ参考架构/月（USD）	AWS東京リージョン・デュアルAZ参考構成／月（USD）
AWS官方2024-03-06示例：Fargate、RDS Multi-AZ、ElastiCache、CloudFront、NAT、监控等	AWS公式2024-03-06公表例：Fargate、RDS Multi-AZ、ElastiCache、CloudFront、NAT、監視等
规划汇率（JPY/USD）	計画為替レート（JPY/USD）
仅用于将官方USD示例换算为直观锚点	公式USD例を参考値として円換算するためにのみ使用
单套参考架构年成本（JPY）	参考構成1セット当たり年間コスト（JPY）
AWS月度示例×汇率×12；NeeDo预算高于该单一Web架构	AWS月額例×為替レート×12。NeeDoの予算はこの単一Web構成を上回る
NeeDo系统维护及云固定基线	NeeDoシステム保守・クラウド固定ベースライン
参数设置：含托管运维、多环境、IM、搜索、队列、监控、安全、备份及灾备	「前提条件」参照。マネージド運用、複数環境、IM、検索、キュー、監視、セキュリティ、バックアップ、DRを含む
本地店铺订单+外国用户增量订单	国内店舗取引＋訪日外国人ユーザー増分取引
每单云资源成本（JPY）	1件当たりクラウドコスト（JPY）
参数设置	前提条件
计费活跃账户（本地月均+技师月均+外国年用户）	課金対象稼働アカウント（国内月平均＋セラピスト月平均＋訪日外国人年間ユーザー）
外国游客按年度独立利用人数计入账户成本	訪日旅行者は年間ユニーク利用者数としてアカウントコストに計上
每活跃账户年成本（JPY）	稼働アカウント当たり年間コスト（JPY）
独立于开发成本；固定基线+订单驱动+账户驱动	開発費とは別科目。固定ベースライン＋取引件数ドライバー＋アカウントドライバー
开发/研发+维护/服务器合计	開発・R&D＋保守・サーバー合計
用于和原模型合并科目比较	旧モデルの統合科目との比較に使用
运营费用口径说明｜用途、包含范围与防重复边界	運営費用の定義｜用途・対象範囲・二重計上防止
以下三项是研发、服务器和正式员工工资以外的运营预算。金额为管理假设，可在“参数设置”修改。	以下3項目は、R&D・サーバー費・正社員給与を除く運営予算です。金額は経営上の仮定であり、「前提条件」シートで変更できます。
一、三个运营费用科目的定义	1．3つの運営費用科目の定義
明确不包含（防止重复）	明確に含めない項目（二重計上防止）
为什么需要	必要性
获得并激活店铺供给	店舗供給の獲得と稼働開始
机构/连锁渠道合作费、一次性店铺导入奖励、BD差旅与商谈活动、说明会/培训、门店资料制作、菜单和基础数据录入、初期上线支援	法人・チェーンチャネル提携費、一時的な店舗オンボーディング報奨、BD出張・商談イベント、説明会・研修、店舗資料作成、メニュー・基礎データ入力、初期稼働支援
不含内部BD/运营人员工资（列入非研发人件费）；不含持续介绍人分润；不含消费者广告	社内BD・運営担当者の給与（R&D以外の人件費に計上）、継続的な紹介者レベニューシェア、消費者向け広告を含まない
签约本身不产生交易，需要把店铺真正配置完成并开始接单	契約だけでは取引は生まれないため、店舗設定を完了し、実際に予約受付を開始させる必要がある
维持平台日常服务质量和基础风险控制	日常のサービス品質と基礎的なリスク管理を維持
外包客服/呼叫中心、夜间与多语言应对、投诉处理、内容/欺诈人工审核、安全测评/渗透测试、事故应急顾问、网络安全及平台责任保险固定保费	外部カスタマーサポート・コールセンター、夜間・多言語対応、苦情対応、コンテンツ・不正の人的審査、セキュリティ評価・ペネトレーションテスト、事故対応顧問、サイバーセキュリティ・プラットフォーム賠償責任保険の固定保険料
不含内部客服/安全人员工资（列入非研发人件费）；不含每单履约风险准备；不含云安全基础设施	社内サポート・安全担当者の給与（R&D以外の人件費に計上）、1件当たり履行リスク引当、クラウドセキュリティ基盤を含まない
订单增长前也必须保留最低客服、安全和保险能力，因此设为固定/阶梯费用	取引増加前から最低限のサポート・安全・保険体制が必要なため、固定・段階費用として設定
维持公司法人、财务和后台管理正常运转	法人、財務、バックオフィスの正常運営を維持
税理士/会计、律师与合同审查、审计/记账、公司登记、办公室/共享办公、通信、差旅会议、通用SaaS、银行手续费、牌照/认证、办公耗材与非研发设备	税理士・会計、弁護士・契約審査、監査・記帳、法人登記、オフィス・コワーキング、通信、出張・会議、共通SaaS、銀行手数料、許認可・認証、事務用品・R&D以外の機器
不含研发工具、服务器、广告、店铺导入、支付通道费、员工工资以及每单变动成本	開発ツール、サーバー、広告、店舗オンボーディング、決済ゲートウェイ手数料、従業員給与、1件当たり変動費を含まない
这些费用不直接创造订单，但属于公司存续、合规和融资审计的必要后台成本	直接取引を生まないものの、法人維持、コンプライアンス、資金調達監査に必要なバックオフィス費用
二、模型中的年度预算（百万日元）	2．モデル上の年間予算（百万円）
预算性质	予算の性質
随店铺扩张和上线工作量增加	店舗拡大とオンボーディング作業量に応じて増加
按订单与风险暴露阶梯式增加	取引件数とリスクエクスポージャーに応じて段階的に増加
随组织、合规和融资复杂度增加	組織・コンプライアンス・資金調達の複雑性に応じて増加
三、相邻科目如何避免重复计算	3．隣接科目との二重計上防止
相邻科目	隣接科目
当前归入位置	現在の計上科目
与上述三项的边界	上記3項目との境界
内部员工工资及法定福利	社内従業員給与・法定福利費
正式员工工资统一放在人件费，不重复放入三项运营费	正社員給与は人件費に集約し、3つの運営費用には重複計上しない
BD、客服、运营、财务、法务、行政人员工资	BD、カスタマーサポート、運営、財務、法務、管理担当者の給与
产品研发人员及工具	プロダクトR&D人材・ツール
研发团队工资、开发设备与研发工具不进入行政费	R&Dチーム給与、開発機器、開発ツールは管理費に含めない
产品、设计、移动端、后端、QA、DevOps/SRE	プロダクト、デザイン、モバイル、バックエンド、QA、DevOps・SRE
系统维护及服务器	システム保守・サーバー
云资源与生产运维不进入行政费或安全固定费	クラウド資源と本番運用は管理費・安全固定費に含めない
AWS、数据库、缓存、IM、搜索、监控、备份	AWS、データベース、キャッシュ、IM、検索、監視、バックアップ
每单履约风险	1件当たり履行リスク
随订单发生的风险准备不放入固定保险费	取引連動のリスク引当は固定保険費に含めない
每笔完成订单30日元	完了1件当たり30円
介绍人持续分润	紹介者への継続レベニューシェア
按Booking贡献利润计算，不放入一次性店铺导入费用	Booking限界利益に基づき算出し、一時的な店舗オンボーディング費に含めない
覆盖店铺比例×贡献利润×分润比例	対象店舗比率×限界利益×レベニューシェア率
消费者广告投放	消費者向け広告出稿
用户获客和品牌曝光单列，不放入商务拓展费用	ユーザー獲得とブランド認知は別科目とし、事業開発費に含めない
高速Y1原800万基础上额外增加1亿日元	高成長Y1は従来の800万円に1億円を追加
NeeDo 三年利润表汇总（单位：百万日元）	NeeDo 3カ年損益計算書（単位：百万円）
收入与变动成本均已纳入外国男性用户增量；酒店/住处不设容量约束，新店免费期仍适用。	売上高と変動費には訪日外国人男性ユーザーの増分を反映済みです。ホテル・宿泊先の容量制約は設けず、新規店舗の無料期間は引き続き適用します。
备注	注記
含外国用户收费资格订单	訪日外国人の課金対象取引を含む
Y2起；含外国订单	Y2以降。含訪日外国人取引
仅本地平均用户	国内平均ユーザーのみ
收入合计	売上合計
独立规模驱动	独立した規模連動コスト
其他运营费用	その他運営費用
运营费用减开发和维护/服务器	運営費用から開発費・保守・サーバー費を控除
利润	利益
利润率	利益率
现金流预测与融资缺口（单位：百万日元）	キャッシュフロー予測・資金調達ギャップ（単位：百万円）
营业现金流近似采用营业利润；第二轮融资输入默认为0，并单独显示维持50百万日元安全线的追加融资需求。	営業キャッシュフローは営業利益で近似します。第2回資金調達の初期値は0とし、最低現金残高50百万円を維持するために必要な追加調達額を別途表示します。
说明	説明
期初现金	期首現金
上年期末现金	上年期末現金
第一轮融资	第1回資金調達
首轮固定2亿日元	第1回資金調達は2億円で固定
营业现金流（近似营业利润）	営業キャッシュフロー（営業利益で近似）
近似采用营业利润	営業利益で近似
第二轮融资（模型内暂不计）	第2回資金調達（モデルでは未計上）
可手动输入	手動入力可
期末现金	期末現金
未计追加融资时的期末现金	追加調達を含まない期末現金
最低安全现金	最低現金水準
内部安全线	社内最低現金水準
是否触发第二轮融资	第2回資金調達の要否
低于安全线则启动融资	最低現金水準を下回る場合に資金調達を開始
维持安全线所需追加融资	最低現金水準を維持するための追加調達額
MAX（安全线－期末现金，0）	MAX（最低現金水準－期末現金、0）
收入演进｜从平台费到多元化平台收入（单位：百万日元）	売上推移｜プラットフォーム手数料から収益源の多角化へ（単位：百万円）
Booking、供应链及酒店返点含外国订单；会员与展示广告不把短期访日游客自动视为年度订阅用户。	Booking、サプライチェーン、ホテルリベートには訪日外国人の取引を含みます。会員収入とディスプレイ広告では、短期滞在者を年間サブスクリプション利用者として自動計上しません。
上线阶段	提供開始時期
Booking平台费	Bookingプラットフォーム手数料
Y1（高速版为0）	Y1（高成長シナリオは0）
S2B2C供应链	S2B2Cサプライチェーン
用户会员	ユーザー会員
Dou+短时流量	Dou+短時間トラフィック
竞价排名	入札型ランキング
达人广告撮合	クリエイター広告マッチング
酒店预约返点	ホテル予約リベート
收入结构占比（Revenue Mix）	売上構成比（Revenue Mix）
各收入来源占同情景、同年度营业收入的比例；Booking已含外国用户订单。	各収益源が同一シナリオ・同一年度の売上高に占める比率です。Bookingには訪日外国人の取引を含みます。
订单耗材收入	取引関連消耗品売上
用户订阅	ユーザーサブスクリプション
短时流量	短時間トラフィック
长期排名	長期ランキング
达人撮合	クリエイターマッチング
酒店联合预约	ホテル連携予約
核心经营指标（KPI）	主要経営指標（KPI）
本地平均用户与外国年度独立用户分开列示；订单总量包含两者。	国内の平均ユーザー数と訪日外国人の年間ユニークユーザー数を分けて表示し、総取引件数には両方を含めます。
已结束免费期	無料期間終了済み
人数×服务次数	人数×利用回数
年完成订单（含外国）	年間完了件数（訪日外国人を含む）
包含免费期	無料期間を含む
年收费资格订单（含外国）	年間課金対象取引件数（訪日外国人を含む）
结束免费期后	無料期間終了後
服务供给容量；不检查酒店容量	サービス供給能力。宿泊容量は確認対象外
百万日元；Y1为20	百万円。Y1は20
系统维护及服务器成本	システム保守・サーバー費
营业利润率	営業利益率
